Town,State,Zip,Filter_Reason,Property_Types_Requested
Avon,MA,02322,No Condo data available,Condo
Boston,MA,02163,No Condo data available,Condo
Boxford,MA,01921,No Condo data available,Condo
Brookline,NH,03033,No Condo data available,Condo
Devens,MA,01434,No Condo data available,Condo
Dunstable,MA,01827,No Condo data available,Condo
Essex,MA,01929,No Condo data available,Condo
Fayville,MA,01745,No Condo data available,Condo
Hanscom AFB,MA,01731,No Condo data available,Condo
Lancaster,MA,01523,No Condo data available,Condo
